rank,city,distance,distance_in_km,cardinal_direction,median_prices
1,Melbourne,0.1km,0.1,North,680100.00
2,Southbank,1km,1,South,802600.00
3,Docklands,1.1km,1.1,South-west,1294400.00
4,West Melbourne,1.2km,1.2,West,1223700.00
5,East Melbourne,1.8km,1.8,East,3005100.00
6,North Melbourne,1.8km,1.8,North-west,1357700.00
7,South Melbourne,1.8km,1.8,South,1591400.00
8,Carlton,2km,2,North,1667500.00
9,Carlton South,2km,2,North,
10,Fitzroy,2km,2,North-east,1598400.00
11,Collingwood,2.2km,2.2,North-east,1190200.00
12,Parkville,2.4km,2.4,North,1959300.00
13,Cremorne,2.9km,2.9,South-east,1394300.00
14,Albert Park,3km,3,South,2122800.00
15,Abbotsford,3.2km,3.2,East,1147800.00
16,Richmond,3.2km,3.2,East,1324300.00
17,Port Melbourne,3.3km,3.3,South-west,1515200.00
18,Carlton North,3.4km,3.4,North,1490700.00
19,South Yarra,3.6km,3.6,South-east,1785200.00
20,Kensington,3.7km,3.7,North-west,1057400.00
21,Princes Hill,3.7km,3.7,North,1922700.00
22,Clifton Hill,3.9km,3.9,North-east,1293900.00
23,Fitzroy North,3.9km,3.9,North-east,1521800.00
24,Middle Park,4km,4,South,2830000.00
25,Burnley,4.6km,4.6,East,1313000.00
26,Brunswick East,4.7km,4.7,North,1133400.00
27,Flemington,4.8km,4.8,North-west,988100.00
28,Prahran,4.8km,4.8,South-east,1657400.00
29,Prahran East,4.8km,4.8,South-east,
30,Travancore,5km,5,North-west,1433800.00
31,Toorak,5.1km,5.1,South-east,3522000.00
32,Hawthorn,5.2km,5.2,East,2360000.00
33,Brunswick,5.3km,5.3,North,1110400.00
34,Brunswick North,5.3km,5.3,North,
35,St Kilda West,5.3km,5.3,South,1960100.00
36,Windsor,5.3km,5.3,South-east,1585600.00
37,Ascot Vale,5.5km,5.5,North-west,1259200.00
38,Brunswick West,5.8km,5.8,North,1042400.00
39,Footscray,5.8km,5.8,West,890700.00
40,Northcote,5.9km,5.9,North-east,1429700.00
41,Seddon,6km,6,West,1005100.00
42,St Kilda,6.1km,6.1,South,1689800.00
43,Kew,6.3km,6.3,East,2189800.00
44,Fairfield,6.4km,6.4,North-east,1278100.00
45,Yarraville,6.4km,6.4,West,1115000.00
46,Moonee Ponds,6.5km,6.5,North-west,1386700.00
47,Armadale,6.7km,6.7,South-east,2554000.00
48,Balaclava,6.7km,6.7,South-east,1274500.00
49,Kooyong,6.7km,6.7,East,4245000.00
50,St Kilda East,6.7km,6.7,South-east,1318500.00
51,Thornbury,6.9km,6.9,North-east,1128600.00
52,Alphington,7km,7,East,1652400.00
53,Spotswood,7.1km,7.1,West,1075600.00
54,Kingsville,7.5km,7.5,West,949000.00
55,Ripponlea,7.5km,7.5,South-east,1099200.00
56,Williamstown,7.5km,7.5,South-west,1491700.00
57,Elwood,7.7km,7.7,South,1880600.00
58,Essendon,7.7km,7.7,North-west,1436600.00
59,Footscray West,7.7km,7.7,West,
59,Newport,7.7km,7.7,West,1049400.00
60,Malvern,7.8km,7.8,South-east,3143700.00
61,Coburg,7.9km,7.9,North,976800.00
62,Coburg East,7.9km,7.9,North,
63,Hawthorn East,8.1km,8.1,East,2289100.00
64,Kew East,8.2km,8.2,East,1797300.00
65,Maribyrnong,8.2km,8.2,North-west,917600.00
66,South Kingsville,8.3km,8.3,West,894400.00
67,West Footscray,8.3km,8.3,West,899700.00
68,Camberwell,8.4km,8.4,East,2132600.00
69,Caulfield North,8.5km,8.5,South-east,1936800.00
70,Ivanhoe,8.5km,8.5,North-east,1391500.00
71,Pascoe Vale South,8.5km,8.5,North,1002600.00
72,Elsternwick,8.6km,8.6,South-east,1845000.00
73,Maidstone,8.6km,8.6,West,784100.00
74,Aberfeldie,8.7km,8.7,North-west,1508400.00
75,Essendon North,9.1km,9.1,North-west,887500.00
76,Preston,9.1km,9.1,North-east,984100.00
77,Preston West,9.1km,9.1,North-east,1283600.00
78,Caulfield,9.3km,9.3,South-east,1621900.00
79,Coburg North,9.3km,9.3,North,830500.00
79,Deepdene,9.2km,9.2,East,2892900.00
80,Essendon West,9.4km,9.4,North-west,1226200.00
81,Strathmore,9.5km,9.5,North-west,1369300.00
82,Williamstown North,9.5km,9.5,West,1130500.00
83,Caulfield South,9.6km,9.6,South-east,1593000.00
84,Ivanhoe East,9.6km,9.6,East,1990900.00
85,Caulfield East,9.7km,9.7,South-east,1252600.00
86,Glen Iris,9.7km,9.7,East,1870600.00
87,Balwyn North,9.8km,9.8,East,1967500.00
88,Pascoe Vale,9.9km,9.9,North,849400.00
89,Avondale Heights,10km,10,West,886200.00
90,Bellfield,10km,10,North-east,868000.00
90,Tottenham,9.8km,9.8,West,
91,Gardenvale,10km,10,South-east,1618600.00
92,Heidelberg West,10km,10,North-east,719700.00
93,Braybrook,10.2km,10.2,West,705500.00
